sample_id,Amylax_triacantha,Aphanizomenon_flosaquae,Aphanothece_paralleliformis,Centrales_sp,Ceratoneis_closterium,Chaetoceros_sp,Chaetoceros_sp_single,Chlorococcales,Chroococcales,Chroococcus_small,Ciliata,Cryptomonadales,Cryptophyceae-Teleaulax,Cyclotella_choctawhatcheeana,Cymbomonas_tetramitiformis,Dinophyceae,Dinophysis_acuminata,Dolichospermum-Anabaenopsis,Dolichospermum-Anabaenopsis-coiled,Euglenophyceae,Eutreptiella_sp,Gonyaulax_verior,Gymnodiniales,Gymnodinium_like,Heterocapsa_rotundata,Heterocapsa_triquetra,Heterocyte,Katablepharis_remigera,Licmophora_sp,Melosira_arctica,Merismopedia_sp,Mesodinium_rubrum,Monoraphidium_contortum,Nitzschia_paleacea,Nodularia_spumigena,Oocystis_sp,Oscillatoriales,Pauliella_taeniata,Pennales_sp_thick,Pennales_sp_thin,Peridiniella_catenata_chain,Peridiniella_catenata_single,Pseudopedinella_sp,Pyramimonas_sp,Skeletonema_marinoi,Snowella-Woronichinia,Thalassiosira_levanderi,Unclassifiable,Uroglenopsis_sp
D20210330T120026_IFCB114,0,0,0,3,2,34,59,0,0,0,0,7,76,0,0,33,0,0,0,0,7,0,0,0,0,0,0,0,6,3,0,10,12,0,0,0,0,0,31,4,2,1,0,0,173,1,129,807,0
D20210406T120951_IFCB114,0,1,0,1,0,52,105,1,0,0,2,9,136,0,0,1,0,0,0,3,13,0,0,0,0,0,0,0,7,6,0,12,15,0,0,0,0,0,37,4,0,0,0,3,434,2,150,695,0
D20210406T193940_IFCB114,0,0,0,1,1,41,81,0,0,0,0,8,138,0,0,1,0,0,0,1,21,0,0,0,0,0,0,0,2,10,0,7,16,0,0,0,0,0,8,1,3,0,0,0,439,0,208,682,0
D20210408T003348_IFCB114,0,1,0,3,0,48,53,0,0,0,0,2,100,0,0,2,0,0,0,1,12,0,0,0,0,0,0,0,1,8,0,12,8,0,0,1,0,0,6,0,0,0,0,2,304,0,153,527,0
D20210408T224413_IFCB114,0,3,0,0,2,62,53,0,0,0,2,24,186,0,0,3,0,0,0,0,78,0,0,0,0,0,0,0,1,6,0,5,17,0,0,0,0,0,3,0,4,1,0,6,249,0,94,713,0
D20210413T120653_IFCB114,0,2,0,0,1,12,3,0,0,0,1,18,241,1,0,19,0,0,0,0,53,0,0,0,2,0,0,0,7,2,0,15,16,0,0,1,0,1,30,8,6,0,0,7,11,0,11,550,0
D20210416T044700_IFCB114,0,0,0,5,1,52,65,0,0,0,0,25,239,0,0,21,0,0,0,1,50,0,0,0,0,0,0,0,1,6,0,15,5,0,0,0,0,9,23,7,6,1,2,7,548,0,406,831,0
D20210418T115708_IFCB114,0,0,0,4,2,94,42,1,1,0,2,6,274,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,3,2,0,13,5,0,0,0,1,10,49,7,3,0,5,25,612,0,220,777,0
D20210419T021349_IFCB114,0,0,0,21,1,110,24,0,0,0,1,7,180,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,27,7,8,0,1,0,6,1212,0,340,926,0
D20210427T121500_IFCB114,0,1,0,10,0,98,4,0,0,0,1,5,25,1,0,38,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1,0,5,136,43,9,0,2,6,2679,0,55,1936,0
D20210503T105205_IFCB114,0,0,0,8,0,50,2,0,0,0,4,24,616,0,0,43,0,0,0,3,57,0,0,0,8,0,0,1,0,0,0,10,4,0,0,0,0,1,2,1,29,5,0,127,418,1,13,1165,0
D20210508T060106_IFCB114,0,0,0,6,1,0,1,0,0,0,3,16,459,0,0,34,0,0,0,0,15,0,0,0,74,0,0,0,4,0,0,11,6,0,0,0,0,3,507,72,17,120,1,16,46,0,0,1733,0
D20210511T120036_IFCB114,0,0,0,4,0,2,0,0,0,0,4,51,449,0,0,37,0,0,0,0,24,0,0,1,4,1,0,0,19,0,0,3,2,0,0,0,0,0,91,24,3,87,0,16,30,0,0,1622,0
D20210519T120718_IFCB114,0,2,0,0,0,0,0,0,0,0,25,17,452,0,0,45,0,0,0,5,28,0,3,7,1014,0,0,1,1,0,0,17,9,0,0,0,0,0,5,9,0,2,0,58,4,0,0,1498,0
D20210525T115014_IFCB114,0,3,0,1,1,0,0,0,0,0,24,26,290,0,0,37,0,0,0,0,8,0,1,4,962,0,0,0,2,0,0,21,5,0,0,0,0,0,17,11,0,0,13,70,4,0,0,1626,0
D20210601T120001_IFCB114,1,8,0,0,1,0,0,1,0,0,5,2,59,0,0,5,0,0,0,0,5,0,0,4,6,0,4,0,0,0,0,12,2,0,0,0,0,0,5,2,0,0,3,11,5,0,0,1607,0
D20210608T115904_IFCB114,1,30,0,0,0,0,0,0,0,0,9,11,38,1,0,50,2,0,0,0,2,0,2,20,159,0,3,1,0,0,0,19,0,0,0,0,0,0,7,1,0,0,15,92,0,2,0,1702,0
D20210615T114408_IFCB114,1,8,0,0,4,3,0,0,0,0,3,3,82,0,1,15,1,2,0,0,4,0,0,4,73,4,3,0,4,0,0,11,2,0,0,0,0,0,39,24,0,0,4,367,0,0,0,1883,0
D20210622T120526_IFCB114,0,52,0,0,0,2,1,4,0,0,4,4,42,0,1,49,1,3,0,0,1,0,0,12,52,7,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,22,874,0,0,0,4776,0
D20210629T115912_IFCB114,0,49,0,0,0,2,2,1,0,0,1,1,24,0,2,12,0,405,13,0,5,0,0,0,5,107,56,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,11,229,1,0,0,7205,130
D20210706T120205_IFCB114,0,323,0,2,1,0,0,2,25,0,3,3,80,0,0,235,1,155,1,0,22,0,2,22,0,665,63,0,0,0,0,0,0,0,0,0,56,0,1,4,0,0,14,840,2,0,0,6307,3
D20210713T120326_IFCB114,0,118,2,0,3,0,0,0,566,0,2,21,421,0,0,401,0,6,1,0,109,0,0,3,2,1142,23,0,1,0,0,0,0,0,0,0,177,0,5,6,0,0,78,551,4,1,0,5119,0
D20210720T120102_IFCB114,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D20210727T115315_IFCB114,0,512,0,0,0,0,0,1,0,0,9,12,500,0,0,68,0,36,10,0,32,1,0,0,4,304,68,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,14,302,0,0,0,4097,0
D20210803T120742_IFCB114,0,14,1,0,2,1,0,1,25,0,27,11,939,0,0,30,0,5,1,1,117,0,3,2,2,26,6,0,3,0,0,9,0,0,1,1,57,0,19,3,0,0,44,305,0,2,0,2116,0
D20210806T185642_IFCB114,0,152,1,1,1,1,0,0,0,0,7,5,546,4,0,16,0,12,9,0,43,0,0,1,0,7,13,0,0,0,0,18,0,1,8,0,2,0,2,1,0,0,50,188,0,0,0,2423,0
D20210810T023238_IFCB114,0,94,0,0,0,0,0,8,19,0,8,21,537,37,0,41,2,30,5,0,95,0,1,4,1,2,10,0,0,0,0,5,0,2,9,19,611,0,0,14,0,0,33,469,0,2,0,4066,0
D20210810T032000_IFCB114,0,88,1,0,5,0,0,7,11,0,9,9,530,24,0,52,1,43,11,1,94,0,1,5,1,0,14,0,0,0,0,8,0,0,12,45,593,0,1,17,0,0,25,485,0,4,0,4010,0
D20210810T034341_IFCB114,0,90,0,0,3,0,0,7,10,0,8,30,519,29,0,57,1,38,10,0,83,0,1,3,1,0,11,0,0,0,0,9,1,0,17,36,606,0,3,12,0,0,14,506,0,4,0,4025,0
D20210810T051824_IFCB114,0,106,1,0,5,0,0,4,22,0,10,19,549,13,0,67,1,32,5,0,91,0,1,4,0,1,12,0,1,0,0,11,0,1,11,23,528,0,4,16,0,0,30,573,0,1,0,3992,0
D20210810T120255_IFCB114,0,55,0,0,2,1,1,0,20,0,13,5,544,13,0,38,0,10,3,0,128,0,0,3,0,1,10,0,0,0,0,10,0,0,2,16,422,0,1,5,0,0,38,1230,1,1,0,4329,0
D20210817T115208_IFCB114,0,8,2,0,4,0,0,1,51,1,10,17,845,30,0,17,0,11,0,0,30,0,2,0,1,0,3,0,2,0,0,35,1,0,0,8,598,0,0,5,0,0,20,140,0,2,16,2786,1
D20210824T115106_IFCB114,0,8,1,0,9,0,1,3,9,0,26,13,649,24,0,13,0,1,1,0,58,0,2,0,13,0,2,0,2,0,0,4,0,0,1,3,168,0,1,3,0,0,49,351,0,3,0,1911,0
D20210831T115916_IFCB114,0,6,0,1,6,0,0,0,7,0,18,15,794,7,0,7,2,1,0,0,88,0,12,0,2,0,1,0,0,0,0,4,0,0,0,0,49,0,8,5,0,0,46,161,0,0,18,2595,0
D20210907T121019_IFCB114,0,1,0,0,12,0,1,0,0,0,11,8,460,13,0,8,5,0,0,1,128,0,0,0,18,0,3,0,2,0,0,2,0,0,0,2,4,0,2,1,0,0,28,213,0,0,0,1883,0
D20210914T115306_IFCB114,0,1,0,0,2,1,3,0,5,0,3,14,351,2,0,1,0,0,0,0,48,0,2,0,125,0,0,1,0,0,0,15,0,0,0,0,3,0,0,0,0,0,15,118,0,0,7,1674,0
D20210921T115117_IFCB114,0,0,0,0,0,0,0,0,1,0,10,6,213,0,0,5,0,0,0,0,23,0,0,1,14,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1040,0
D20210928T120619_IFCB114,0,1,0,0,0,0,0,0,1,0,9,2,170,0,0,7,0,0,0,0,28,0,0,0,8,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,808,0
D20211005T115617_IFCB114,0,0,0,0,0,0,0,0,0,0,5,5,222,0,0,0,0,0,0,0,9,0,1,0,4,0,0,0,2,0,0,11,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,946,0
D20211026T115538_IFCB114,0,0,0,1,0,1,0,0,0,0,0,3,450,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,2,1,3,593,0
D20211102T120611_IFCB114,0,0,0,1,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,442,0
D20211109T115603_IFCB114,0,1,0,1,0,0,0,0,0,0,1,2,492,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,364,0
D20211116T121922_IFCB114,0,0,0,1,0,0,0,0,0,0,2,3,414,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,1,1,0,386,0
D20211123T115459_IFCB114,0,0,0,0,0,0,0,0,0,0,2,2,295,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0
D20211130T115335_IFCB114,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,184,0
D20211207T121839_IFCB114,0,0,0,0,0,0,0,0,0,0,1,1,196,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,142,0
D20211214T115350_IFCB114,0,0,0,0,0,1,0,0,0,0,0,0,191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,0,0,208,0
D20211221T120159_IFCB114,0,0,0,0,0,0,0,0,2,0,1,0,124,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,96,0
D20211228T120520_IFCB114,0,0,0,0,0,0,0,1,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,157,0
